heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T16,27,0,570.0,141,,2
2026-09-04T16,27,2,580.0,295,,1
2026-09-04T17,27,2,580.0,45,,2
2026-09-04T17,27,3,585.0,500,,1
2026-09-04T21,27,0,575.0,80,,1
2026-09-04T23,27,3,585.0,0,356,1
2026-09-05T01,27,2,580.0,70,0,2
2026-09-05T03,27,0,590.0,0,3,1
2026-09-05T03,27,3,590.0,0,508,2
2026-09-05T03,27,3,595.0,0,12,1
2026-09-05T03,27,3,600.0,5,11,2
2026-09-05T04,27,1,585.0,0,1919,1
2026-09-05T05,27,3,590.0,110,0,1
2026-09-05T05,27,3,595.0,253,0,1
2026-09-05T06,27,2,575.0,0,200,1
2026-09-05T06,27,2,580.0,0,1439,1
2026-09-05T06,27,2,585.0,300,0,1
2026-09-05T06,27,12,800.0,240,0,1
2026-09-05T07,27,3,590.0,330,0,2
2026-09-05T10,27,3,590.0,1,0,1
2026-09-05T11,27,3,590.0,55,0,3
2026-09-05T12,27,2,585.0,0,389,1
2026-09-05T12,27,3,590.0,100,0,1
2026-09-05T13,27,3,590.0,600,0,1
2026-09-05T14,27,2,585.0,0,100,1
2026-09-05T14,27,3,590.0,148,0,2
2026-09-05T14,27,5,605.0,0,1000,1
2026-09-05T17,27,0,595.0,100,0,1
2026-09-05T17,27,3,590.0,0,656,1
2026-09-05T17,27,3,595.0,0,1576,1
2026-09-05T18,27,0,595.0,1,0,1
2026-09-05T18,27,5,605.0,140,0,1
2026-09-05T19,27,3,590.0,0,1000,1
2026-09-05T20,27,0,595.0,0,894,2
2026-09-05T20,27,3,595.0,0,1,1
2026-09-05T20,27,3,600.0,0,3806,1
2026-09-05T20,27,4,600.0,40,1960,2
2026-09-05T20,27,5,605.0,0,1878,1
2026-09-05T21,27,3,600.0,2,0,1
2026-09-05T23,27,2,580.0,0,935,1
2026-09-05T23,27,5,605.0,0,1177,1
2026-09-05T23,27,5,610.0,0,900,2
2026-09-05T23,27,12,800.0,0,240,1
2026-09-06T00,27,2,580.0,90,0,1
2026-09-06T01,27,2,580.0,80,0,1
2026-09-06T01,27,3,595.0,479,0,2
2026-09-06T02,27,5,610.0,0,2823,1
2026-09-06T02,27,5,615.0,0,2000,1
2026-09-06T02,27,5,620.0,0,2000,1
2026-09-06T04,27,0,575.0,0,125,1
2026-09-06T04,27,1,590.0,2,0,1
2026-09-06T04,27,1,595.0,0,1182,1
2026-09-06T04,27,2,580.0,0,136,1
2026-09-06T04,27,3,595.0,24,0,1
2026-09-06T05,27,3,590.0,0,1,1
2026-09-06T05,27,4,605.0,500,0,1
2026-09-06T06,27,2,580.0,6,0,1
2026-09-06T06,27,3,590.0,0,1,1
2026-09-06T07,27,1,590.0,0,159,1
2026-09-06T07,27,2,580.0,350,158,3
2026-09-06T07,27,2,585.0,0,196,1
2026-09-06T07,27,2,590.0,0,677,1
2026-09-06T07,27,3,595.0,0,967,1
2026-09-06T07,27,3,600.0,9,0,1
2026-09-06T08,27,3,600.0,140,0,3
2026-09-06T10,27,3,600.0,37,0,2
2026-09-06T11,27,3,595.0,0,1,1
2026-09-06T12,27,0,590.0,480,0,3
2026-09-06T12,27,5,595.0,146,0,2
2026-09-06T13,27,5,595.0,90,0,2
2026-09-06T14,27,0,590.0,13,0,1
2026-09-06T14,27,5,595.0,1442,0,3
2026-09-06T15,27,5,595.0,1350,0,4
2026-09-06T16,27,2,575.0,100,0,1
2026-09-06T17,27,2,575.0,0,200,1
2026-09-06T17,27,2,580.0,0,589,1
2026-09-06T17,27,2,590.0,0,480,1
2026-09-06T17,27,5,595.0,555,0,2
2026-09-06T18,27,5,590.0,40,960,2
2026-09-06T18,27,5,595.0,0,4548,1
2026-09-06T19,27,0,590.0,56,0,2
2026-09-06T19,27,3,595.0,90,0,2
2026-09-06T20,27,0,590.0,0,451,1
2026-09-06T20,27,0,595.0,0,2362,1
2026-09-06T20,27,3,595.0,0,910,1
2026-09-06T20,27,3,600.0,135,0,1
2026-09-06T20,27,4,600.0,0,5000,1
2026-09-06T21,27,3,600.0,125,0,1
2026-09-06T21,27,4,600.0,0,1000,1
2026-09-06T21,27,4,605.0,0,6500,2
2026-09-06T21,27,5,610.0,30,0,1
2026-09-06T23,27,5,605.0,20,0,1
2026-09-07T00,27,3,590.0,140,0,3
2026-09-07T01,27,2,585.0,10,190,2
2026-09-07T02,27,0,585.0,24,0,1
2026-09-07T05,27,0,585.0,40,0,1
2026-09-07T05,27,5,605.0,0,980,1
2026-09-07T05,27,5,610.0,0,470,1
2026-09-07T06,27,0,585.0,7,0,1
2026-09-07T06,27,2,580.0,0,793,1
2026-09-07T06,27,3,590.0,220,0,2
2026-09-07T07,27,3,580.0,100,0,1
2026-09-07T07,27,3,585.0,350,0,1
2026-09-07T08,27,3,580.0,180,0,2
2026-09-07T09,27,3,580.0,180,0,2
2026-09-07T10,27,0,585.0,13,0,1
2026-09-07T10,27,3,580.0,0,400,1
2026-09-07T10,27,3,585.0,0,5153,1
2026-09-07T10,27,3,590.0,0,640,1
2026-09-07T10,27,3,595.0,0,2000,1
2026-09-07T10,27,3,600.0,839,0,1
2026-09-07T10,27,4,600.0,0,161,2
2026-09-07T10,27,5,595.0,120,0,1
2026-09-07T11,27,5,595.0,248,3340,2
2026-09-07T12,27,0,575.0,0,1,1
2026-09-07T12,27,2,580.0,100,0,1
2026-09-07T12,27,12,680.0,0,80,1
2026-09-07T13,27,2,580.0,0,258,1
2026-09-07T13,27,3,600.0,200,0,1
2026-09-07T13,27,5,605.0,60,0,2
2026-09-07T13,27,7,680.0,0,640,1
2026-09-07T14,27,0,585.0,2,114,5
2026-09-07T14,27,5,600.0,30,0,1
2026-09-07T16,27,2,585.0,0,68,1
2026-09-07T16,27,3,590.0,440,0,2
2026-09-07T16,27,5,600.0,500,0,1
2026-09-07T17,27,5,595.0,0,1833,1
2026-09-07T17,27,5,600.0,200,270,2
2026-09-07T17,27,5,605.0,0,170,1
2026-09-07T18,27,3,585.0,0,8,1
2026-09-07T18,27,3,590.0,32,28,2
2026-09-07T18,27,3,595.0,130,0,1
2026-09-07T19,27,3,590.0,0,250,1
2026-09-07T19,27,3,595.0,1750,0,1
2026-09-07T20,27,0,570.0,0,164,1
2026-09-07T20,27,0,575.0,241,0,2
2026-09-07T21,27,0,575.0,100,0,1
2026-09-07T22,27,3,585.0,0,2451,1
2026-09-08T00,27,2,575.0,50,0,1
2026-09-08T00,27,3,590.0,0,200,1
2026-09-08T01,27,2,575.0,50,0,1
2026-09-08T02,27,2,570.0,0,227,1
2026-09-08T02,27,2,575.0,0,900,1
2026-09-08T02,27,3,590.0,10,0,1
2026-09-08T04,27,2,580.0,0,688,1
2026-09-08T04,27,5,600.0,20,0,1
2026-09-08T05,27,0,565.0,244,1080,3
2026-09-08T05,27,3,590.0,0,153,1
2026-09-08T05,27,3,595.0,7,0,1
2026-09-08T05,27,5,600.0,0,290,1
2026-09-08T05,27,5,605.0,0,250,1
2026-09-08T07,27,0,565.0,147,0,1
2026-09-08T07,27,0,570.0,10,0,1
2026-09-08T08,27,0,555.0,0,19,1
2026-09-08T08,27,0,560.0,81,0,2
2026-09-08T09,27,0,560.0,362,0,1
2026-09-08T10,27,0,560.0,253,0,1
2026-09-08T11,27,0,560.0,226,0,4
2026-09-08T11,27,2,580.0,5,0,1
2026-09-08T11,27,3,585.0,120,0,2
2026-09-08T12,27,0,555.0,0,2,2
2026-09-08T12,27,0,560.0,126,0,2
2026-09-08T12,27,3,585.0,0,60,1
2026-09-08T12,27,3,590.0,0,1,1
2026-09-08T13,27,0,560.0,550,0,3
2026-09-08T13,27,5,610.0,0,1000,1
