ts,kind,best,qty_best,n_orders,total_qty,qty_within_5pct,median_age_h
2026-09-03T19:05:49Z,1,0.26,637282,200,614531693,614531693,1.73
2026-09-03T19:05:49Z,2,0.366,80003,200,152444045,78510877,0.403
2026-09-03T19:05:49Z,3,2.2,3222,200,4060061,81846,0.885
2026-09-03T19:05:49Z,4,2.2,911,170,12813085,19987,3.133
2026-09-03T19:05:49Z,5,2.95,4600,88,4864349,868014,16.903
2026-09-03T19:05:49Z,6,0.71,517783,157,72510474,12172688,11.14
2026-09-03T19:05:49Z,7,39.5,3842,97,725151,116468,4.932
2026-09-03T19:05:49Z,8,10.5,3100,65,1753210,55021,2.321
2026-09-03T19:05:49Z,9,1.17,1500000,160,13716069,1550441,0.48
2026-09-03T19:05:49Z,11,40.75,20080,51,1156732,508229,2.508
2026-09-03T19:05:49Z,12,41.25,777157,66,2535905,1540836,19.021
2026-09-03T19:05:49Z,13,0.366,783748,154,507837670,151472308,7.822
2026-09-03T19:05:49Z,14,10.8,75799,62,7745710,798768,1.238
2026-09-03T19:05:49Z,15,10.3,36700,96,8253010,1156348,1.91
2026-09-03T19:05:49Z,16,9.0,1100,28,4685248,2137689,68.5
2026-09-03T19:05:49Z,17,14.5,45268,104,7639871,3925836,5.901
2026-09-03T19:05:49Z,18,20.25,1797,82,3439958,528325,1.579
2026-09-03T19:05:49Z,19,11.1,1498,86,8980247,312310,3.875
2026-09-03T19:05:49Z,20,112.0,1482,71,768811,122766,1.289
2026-09-03T19:05:49Z,24,610.0,6,38,48698,5373,5.874
2026-09-03T19:05:49Z,25,755.0,538,49,116331,38786,14.325
2026-09-03T19:05:49Z,26,1220.0,800,19,33350,32293,81.611
2026-09-03T19:05:49Z,27,575.0,50,21,31823,12921,10.343
2026-09-03T19:05:49Z,28,960.0,554,14,25525,2659,21.125
2026-09-03T19:05:49Z,29,99.5,2250,73,962508,386269,24.935
2026-09-03T19:05:49Z,30,157.0,6239,49,443800,259842,8.941
2026-09-03T19:05:49Z,31,202.0,350,25,597523,446383,29.497
2026-09-03T19:05:49Z,32,212.0,3150,65,613747,201900,9.748
2026-09-03T19:05:49Z,33,113.0,36562,28,314560,213261,100.246
2026-09-03T19:05:49Z,41,4.8,117437,81,9670096,2030283,3.524
2026-09-03T19:05:49Z,42,5.0,30682,62,8825275,39862,4.347
2026-09-03T19:05:49Z,43,11.4,15068,102,5310561,352884,2.88
2026-09-03T19:05:49Z,44,1.26,1235402,57,30348647,7936535,9.502
2026-09-03T19:05:49Z,45,15.9,1985,43,1557557,360677,0.542
2026-09-03T19:05:49Z,46,27.0,6,129,1737669,66706,0.938
2026-09-03T19:05:49Z,47,430.0,1506,55,175957,18800,6.77
2026-09-03T19:05:49Z,48,222.0,927,39,282006,106484,16.825
2026-09-03T19:05:49Z,49,950.0,88,33,57499,5126,58.578
2026-09-03T19:05:49Z,50,336.0,60,36,144745,24309,7.819
2026-09-03T19:05:49Z,54,6450.0,505,22,15703,1861,25.558
2026-09-03T19:05:49Z,55,2240.0,9,19,7442,3972,85.657
2026-09-03T19:05:49Z,56,4340.0,66,42,20352,14586,20.762
