heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T13,131,4,2720.0,11,,1
2026-09-04T14,131,0,2380.0,20,,1
2026-09-04T17,131,0,2370.0,2,,1
2026-09-04T17,131,1,2510.0,2,,1
2026-09-05T00,131,0,2350.0,4,0,1
2026-09-05T00,131,5,2860.0,4,0,1
2026-09-05T03,131,0,2340.0,0,3,1
2026-09-05T03,131,0,2350.0,17,0,2
2026-09-05T04,131,0,2350.0,3,0,1
2026-09-05T04,131,4,2720.0,4,0,1
2026-09-05T04,131,7,2990.0,10,0,1
2026-09-05T05,131,0,2350.0,5,0,1
2026-09-05T06,131,0,2350.0,0,88,1
2026-09-05T06,131,0,2360.0,0,12,1
2026-09-05T06,131,0,2370.0,0,3,1
2026-09-05T06,131,0,2380.0,0,21,1
2026-09-05T06,131,0,2390.0,0,4,1
2026-09-05T06,131,0,2400.0,532,0,1
2026-09-05T07,131,0,2390.0,0,1,1
2026-09-05T07,131,1,2490.0,16,0,1
2026-09-05T07,131,3,2640.0,0,131,2
2026-09-05T07,131,3,2650.0,0,110,1
2026-09-05T07,131,3,2700.0,0,172,1
2026-09-05T07,131,4,2710.0,0,200,1
2026-09-05T08,131,0,2400.0,1,0,1
2026-09-05T11,131,7,2990.0,6,0,1
2026-09-05T12,131,0,2340.0,0,2,1
2026-09-05T12,131,0,2350.0,2,0,1
2026-09-05T16,131,0,2310.0,0,6,1
2026-09-05T16,131,0,2320.0,0,1,1
2026-09-05T16,131,0,2330.0,0,1,1
2026-09-05T16,131,0,2340.0,0,4,1
2026-09-05T16,131,0,2350.0,0,24,1
2026-09-05T16,131,0,2400.0,264,0,1
2026-09-05T17,131,1,2440.0,0,18,1
2026-09-05T17,131,1,2450.0,22,0,1
2026-09-05T18,131,0,2390.0,0,2,1
2026-09-05T19,131,1,2440.0,0,2,1
2026-09-05T19,131,1,2450.0,1,0,1
2026-09-05T19,131,5,2860.0,6,0,2
2026-09-05T23,131,1,2450.0,0,33,1
2026-09-05T23,131,3,2710.0,0,532,3
2026-09-05T23,131,5,2850.0,40,0,1
2026-09-05T23,131,7,2990.0,10,0,1
2026-09-06T00,131,0,2390.0,3,0,1
2026-09-06T01,131,5,2850.0,3,0,1
2026-09-06T01,131,7,2990.0,4,0,1
2026-09-06T03,131,5,2850.0,4,0,1
2026-09-06T07,131,7,2990.0,0,39,1
2026-09-06T08,131,1,2490.0,3,0,1
2026-09-06T08,131,5,2850.0,500,0,1
2026-09-06T09,131,0,2360.0,32,0,1
2026-09-06T11,131,8,4100.0,6,0,1
2026-09-06T12,131,0,2350.0,0,5,1
2026-09-06T12,131,0,2360.0,0,7,1
2026-09-06T12,131,0,2370.0,4,0,1
2026-09-06T13,131,0,2370.0,8,0,1
2026-09-06T14,131,4,2700.0,56,0,2
2026-09-06T15,131,0,2350.0,8,0,1
2026-09-06T16,131,4,2700.0,6,0,1
2026-09-06T18,131,7,3600.0,6,0,1
2026-09-06T18,131,8,4100.0,12,0,1
2026-09-06T19,131,0,2340.0,3,1,2
2026-09-06T19,131,0,2350.0,2,0,1
2026-09-06T19,131,5,2840.0,0,182,1
2026-09-06T19,131,5,2850.0,68,0,1
2026-09-06T19,131,7,3600.0,2,0,1
2026-09-06T20,131,1,2470.0,3,0,1
2026-09-06T21,131,5,2850.0,6,0,1
2026-09-06T22,131,0,2330.0,0,6,1
2026-09-06T22,131,0,2340.0,34,0,2
2026-09-07T00,131,5,2850.0,4,0,1
