heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T12,63,0,32.5,201,,1
2026-09-04T16,63,0,33.5,255,,1
2026-09-04T16,63,0,33.75,1315,,2
2026-09-04T17,63,0,33.5,260,,2
2026-09-04T18,63,0,34.0,800,,1
2026-09-04T21,63,0,33.75,434,,2
2026-09-05T00,63,0,33.5,750,0,1
2026-09-05T00,63,2,35.0,0,1000,1
2026-09-05T02,63,0,33.5,1,0,1
2026-09-05T03,63,0,33.5,107,0,2
2026-09-05T03,63,1,34.0,0,560,1
2026-09-05T03,63,1,34.25,0,5213,1
2026-09-05T03,63,1,34.75,1227,0,1
2026-09-05T03,63,4,36.25,0,37790,2
2026-09-05T04,63,0,33.5,1,758,2
2026-09-05T04,63,0,33.75,0,7635,1
2026-09-05T04,63,0,34.0,0,72397,1
2026-09-05T05,63,0,34.0,400,0,1
2026-09-05T06,63,0,33.75,70,0,1
2026-09-05T07,63,0,33.75,0,570,1
2026-09-05T07,63,0,34.0,630,0,2
2026-09-05T08,63,0,33.5,300,0,1
2026-09-05T08,63,0,33.75,790,0,1
2026-09-05T09,63,0,33.5,0,145,1
2026-09-05T09,63,0,33.75,0,527,1
2026-09-05T09,63,0,34.0,0,1451,2
2026-09-05T09,63,2,35.25,0,4000,1
2026-09-05T10,63,0,34.25,1096,2578,6
2026-09-05T12,63,0,34.25,100,0,1
2026-09-05T13,63,3,35.5,0,9669,1
2026-09-05T13,63,3,35.75,0,8935,1
2026-09-05T13,63,3,36.0,0,116026,1
2026-09-05T14,63,0,33.5,95,0,1
2026-09-05T15,63,0,33.5,0,476,1
2026-09-05T15,63,0,33.75,0,500,1
2026-09-05T15,63,0,34.0,0,6090,1
2026-09-05T15,63,0,34.25,2410,0,1
2026-09-05T16,63,0,34.25,300,0,1
2026-09-05T17,63,0,34.25,0,1473,1
2026-09-05T17,63,1,34.5,27,0,1
2026-09-05T18,63,1,34.5,120,538,2
2026-09-05T18,63,2,34.75,1212,705,2
2026-09-05T18,63,3,36.0,0,4858,1
2026-09-05T18,63,3,36.25,0,15352,2
2026-09-05T18,63,4,36.25,0,2465,1
2026-09-05T18,63,4,36.5,578,0,1
2026-09-05T19,63,1,34.75,8500,5973,2
2026-09-05T20,63,0,33.75,0,375,1
2026-09-05T20,63,1,34.75,100,0,1
2026-09-05T23,63,0,34.0,0,50,1
2026-09-05T23,63,0,34.25,0,2345,1
2026-09-05T23,63,0,34.5,756,0,1
2026-09-05T23,63,1,34.75,2399,0,1
2026-09-05T23,63,2,35.0,0,1550,1
2026-09-05T23,63,4,36.25,2300,0,1
2026-09-06T00,63,1,34.5,0,250,1
2026-09-06T01,63,4,36.25,4625,0,1
2026-09-06T02,63,0,34.25,50,0,1
2026-09-06T06,63,0,34.25,0,50,1
2026-09-06T06,63,0,34.5,430,0,1
2026-09-06T06,63,1,34.5,0,1020,1
2026-09-06T06,63,4,36.25,100,0,1
2026-09-06T07,63,0,34.25,107,0,1
2026-09-06T14,63,1,34.5,0,365,1
2026-09-06T14,63,2,35.25,0,7583,1
2026-09-06T14,63,2,35.5,19000,0,1
2026-09-06T14,63,3,35.5,0,2785,1
2026-09-06T15,63,0,33.0,12,0,1
2026-09-06T15,63,4,36.25,0,54157,1
2026-09-06T15,63,4,36.5,0,228035,1
2026-09-06T15,63,6,38.5,0,10000,1
2026-09-06T15,63,7,38.0,0,98125,1
2026-09-06T17,63,0,33.0,0,290,1
2026-09-06T17,63,0,33.5,0,500,1
2026-09-06T17,63,0,33.75,0,150,1
2026-09-06T17,63,0,34.0,250,0,1
2026-09-06T18,63,0,33.75,0,900,1
2026-09-06T18,63,0,34.0,2575,625,3
2026-09-06T18,63,2,35.25,0,4080,2
2026-09-06T18,63,2,35.5,0,7995,1
2026-09-06T18,63,3,35.75,0,1133,1
2026-09-06T18,63,3,36.0,1467,0,1
2026-09-06T19,63,0,34.0,0,1724,1
2026-09-06T19,63,0,34.25,0,3165,1
2026-09-06T19,63,0,34.5,0,12304,3
2026-09-06T19,63,0,34.75,0,643,1
2026-09-06T19,63,1,34.5,0,552,1
2026-09-06T19,63,1,34.75,0,4001,1
2026-09-06T19,63,1,35.0,0,109214,2
2026-09-06T20,63,2,34.75,0,320,1
2026-09-06T21,63,3,35.5,500,0,1
2026-09-07T00,63,0,34.75,208,0,1
2026-09-07T04,63,0,34.5,0,100,1
2026-09-07T04,63,3,35.5,0,4500,1
2026-09-07T04,63,3,35.75,0,29295,1
2026-09-07T04,63,3,36.0,0,9590,2
2026-09-07T06,63,0,34.0,250,0,1
2026-09-07T08,63,0,33.5,0,702,1
2026-09-07T08,63,0,33.75,0,300,1
2026-09-07T08,63,0,34.0,0,2359,2
2026-09-07T08,63,0,34.25,0,100,1
2026-09-07T08,63,0,34.5,0,1000,1
2026-09-07T08,63,0,34.75,0,2136,1
2026-09-07T08,63,0,35.0,0,10370,4
2026-09-07T08,63,1,35.25,3033,0,1
2026-09-07T09,63,2,35.5,200,0,1
2026-09-07T11,63,0,34.5,0,10,1
2026-09-07T12,63,0,34.25,1,0,1
2026-09-07T14,63,0,33.75,250,0,1
2026-09-07T15,63,0,33.75,20,0,1
2026-09-07T16,63,2,34.5,0,11680,1
2026-09-07T17,63,0,33.25,20,0,1
2026-09-07T17,63,2,35.0,0,48960,1
2026-09-07T17,63,2,35.25,0,18610,1
2026-09-07T19,63,0,32.75,975,666,2
2026-09-07T19,63,0,33.0,0,250,1
2026-09-07T19,63,0,33.25,0,488,1
2026-09-07T19,63,0,33.5,544,0,1
2026-09-07T22,63,0,33.25,0,80,1
2026-09-07T22,63,0,33.5,420,0,1
2026-09-08T05,63,0,32.75,0,100,1
2026-09-08T05,63,0,33.0,0,250,1
2026-09-08T05,63,0,33.25,0,800,1
2026-09-08T05,63,0,33.5,0,2036,1
2026-09-08T05,63,0,33.75,0,367,1
2026-09-08T05,63,0,34.0,0,250,1
2026-09-08T05,63,0,34.25,0,713,1
2026-09-08T05,63,0,34.5,0,461,1
2026-09-08T05,63,0,34.75,0,2157,1
2026-09-08T05,63,1,34.0,0,809,1
2026-09-08T05,63,1,34.25,0,641,1
2026-09-08T10,63,2,35.25,500,0,1
2026-09-08T12,63,2,35.25,0,2234,1
2026-09-08T14,63,0,34.75,2,0,1
2026-09-08T15,63,0,34.75,0,3719,1
2026-09-08T15,63,0,35.0,1606,0,2
2026-09-08T15,63,1,35.0,0,4775,2
2026-09-08T16,63,0,35.0,1,0,1
2026-09-08T18,63,0,35.0,500,0,1
2026-09-08T19,63,0,34.75,1,0,1
2026-09-08T20,63,3,37.0,3000,0,1
2026-09-09T00,63,0,34.0,0,100,1
2026-09-09T00,63,0,34.25,0,100,1
2026-09-09T00,63,0,34.5,0,5460,1
2026-09-09T00,63,0,34.75,0,1369,1
2026-09-09T00,63,0,35.0,1971,0,1
2026-09-09T01,63,2,35.25,0,2266,1
2026-09-09T03,63,0,35.0,200,0,1
2026-09-09T07,63,0,30.0,4298,9947,2
2026-09-09T07,63,1,35.25,0,1967,1
2026-09-09T08,63,0,33.75,0,1307,1
2026-09-09T08,63,0,34.0,0,200,1
2026-09-09T09,63,2,35.0,0,200,1
2026-09-09T09,63,2,35.25,0,4240,2
2026-09-09T09,63,2,35.5,0,172789,2
2026-09-09T10,63,0,34.5,45,0,1
2026-09-09T17,63,0,34.25,0,300,1
2026-09-09T17,63,0,34.5,0,5266,1
2026-09-09T17,63,0,34.75,4433,0,1
2026-09-09T18,63,2,35.5,0,30000,1
2026-09-09T18,63,2,35.75,0,5000,1
2026-09-09T20,63,0,34.75,1425,0,1
2026-09-09T22,63,0,34.5,0,1550,1
2026-09-09T22,63,3,36.0,0,10000,1
2026-09-09T22,63,6,36.25,2221,0,1
2026-09-10T00,63,6,36.25,0,17779,1
2026-09-10T02,63,0,34.5,0,135,1
2026-09-10T02,63,3,36.25,0,45000,1
2026-09-10T02,63,4,36.75,0,16782,1
2026-09-10T03,63,0,34.75,1,0,1
2026-09-10T12,63,0,34.25,1,0,1
2026-09-10T13,63,0,33.75,0,199,1
2026-09-10T13,63,7,40.0,0,35931,1
2026-09-10T14,63,2,35.5,0,1930,1
2026-09-10T14,63,2,35.75,5070,0,1
2026-09-10T14,63,5,37.75,5000,0,1
2026-09-10T17,63,0,33.5,0,2,1
2026-09-10T19,63,0,33.5,196,1773,2
2026-09-10T21,63,0,33.5,0,462,1
2026-09-10T21,63,0,33.75,1538,0,1
2026-09-10T21,63,2,35.5,0,300,1
2026-09-11T09,63,0,33.5,2,0,2
2026-09-11T10,63,0,33.25,150,0,1
2026-09-11T11,63,0,33.25,0,2850,1
2026-09-11T11,63,0,33.5,0,393,1
2026-09-11T13,63,0,33.0,0,1995,2
2026-09-11T13,63,0,33.25,0,360,1
2026-09-11T13,63,0,33.5,0,904,1
2026-09-11T13,63,0,33.75,0,2809,1
2026-09-11T13,63,0,34.0,0,500,1
2026-09-11T13,63,0,34.25,0,5406,1
2026-09-11T13,63,0,34.5,0,2389,2
2026-09-11T13,63,0,34.75,0,3416,4
2026-09-11T13,63,0,35.0,0,5722,1
2026-09-11T13,63,2,35.25,0,1000,1
2026-09-11T13,63,3,35.75,0,36387,1
2026-09-11T14,63,0,34.75,5,244,2
2026-09-11T14,63,0,35.0,0,300,1
2026-09-11T14,63,1,35.25,7678,0,1
2026-09-11T15,63,0,35.0,1,0,1
2026-09-11T15,63,2,35.5,600,0,1
2026-09-11T16,63,0,35.0,200,0,1
2026-09-11T18,63,0,35.0,5100,0,2
2026-09-11T18,63,3,36.0,0,15230,2
2026-09-11T18,63,3,36.5,0,90118,1
2026-09-11T18,63,4,36.5,0,1490,1
2026-09-12T02,63,0,34.25,1,0,1
2026-09-12T02,63,2,35.0,0,460,1
2026-09-12T04,63,0,34.25,1000,0,1
2026-09-12T07,63,0,34.25,0,135,1
2026-09-12T07,63,0,34.5,0,270,1
2026-09-12T07,63,0,35.0,0,4744,2
2026-09-12T07,63,1,35.25,4261,0,1
2026-09-12T07,63,2,35.25,0,1890,1
2026-09-12T08,63,5,37.75,0,95000,1
2026-09-12T10,63,1,35.0,0,12265,1
2026-09-12T11,63,2,35.5,0,1225,1
2026-09-12T12,63,6,35.0,0,1000,1
2026-09-12T13,63,2,35.25,400,0,1
2026-09-12T13,63,6,37.5,1,0,1
2026-09-12T15,63,0,34.25,0,598,1
2026-09-12T15,63,0,34.5,0,5015,1
2026-09-12T15,63,0,34.75,0,846,1
2026-09-12T15,63,1,34.75,0,3190,1
2026-09-12T16,63,1,35.0,12000,0,1
2026-09-12T17,63,0,34.75,0,360,1
2026-09-12T17,63,1,35.0,0,265,1
2026-09-12T17,63,1,35.25,0,61,1
2026-09-12T17,63,1,35.5,0,7000,1
2026-09-12T17,63,1,35.75,298,0,1
2026-09-12T17,63,2,35.25,0,3955,1
2026-09-12T17,63,2,35.5,0,5000,1
2026-09-12T18,63,5,36.0,0,100000,1
2026-09-12T19,63,6,37.5,11301,0,1
2026-09-12T22,63,2,34.5,30,0,1
2026-09-13T03,63,2,34.5,0,2386,1
2026-09-13T03,63,4,36.0,0,7459,1
2026-09-14T04,63,0,34.0,0,700,1
2026-09-14T04,63,0,34.75,0,1500,1
2026-09-14T04,63,1,34.25,0,3345,2
2026-09-14T04,63,1,35.5,0,9000,1
2026-09-14T04,63,2,34.5,0,839,1
2026-09-14T04,63,2,34.75,0,10000,1
2026-09-14T04,63,3,36.25,0,22164,2
2026-09-14T04,63,4,36.25,0,3633,1
2026-09-14T04,63,4,36.5,0,16440,1
2026-09-14T04,63,6,37.5,2499,0,1
2026-09-14T04,63,6,38.25,0,1000000,1
2026-09-14T08,63,7,38.0,500,0,1
2026-09-14T09,63,7,38.0,22,0,1
2026-09-14T10,63,0,34.5,1,0,1
2026-09-14T11,63,2,34.75,0,809,1
2026-09-14T11,63,2,35.5,0,2710,1
2026-09-14T11,63,3,35.0,0,10000,1
2026-09-14T14,63,0,32.0,0,1404,1
2026-09-14T15,63,0,33.0,1415,0,1
2026-09-14T16,63,0,32.75,100,0,1
2026-09-14T17,63,0,32.75,0,400,1
2026-09-14T18,63,0,33.0,200,0,1
2026-09-14T19,63,0,32.75,0,35,1
2026-09-14T19,63,0,33.0,716,0,1
2026-09-14T20,63,0,33.0,0,561,1
2026-09-14T20,63,0,33.25,0,5000,1
2026-09-14T22,63,3,35.0,3000,7000,2
2026-09-14T22,63,5,37.25,0,109202,2
2026-09-14T22,63,6,37.5,21798,0,1
2026-09-15T11,63,0,33.0,0,440,1
2026-09-15T11,63,0,33.25,0,1269,1
2026-09-15T11,63,0,33.5,0,300,1
2026-09-15T11,63,1,34.5,0,320,1
2026-09-15T11,63,1,34.75,3280,0,1
2026-09-15T11,63,2,35.25,0,30525,2
2026-09-15T11,63,3,35.5,0,5000,1
2026-09-15T11,63,5,36.0,5000,0,1
2026-09-15T12,63,3,35.5,0,101967,1
2026-09-15T13,63,0,34.0,30,0,1
2026-09-15T13,63,7,38.0,0,62314,1
2026-09-15T18,63,0,33.25,0,310,1
2026-09-15T18,63,0,33.5,0,187,1
2026-09-15T18,63,0,33.75,0,861,1
2026-09-15T18,63,0,34.0,0,201,1
2026-09-15T18,63,0,34.25,2441,0,1
2026-09-15T20,63,3,35.0,1000,0,1
2026-09-15T21,63,0,34.25,10,0,1
2026-09-15T21,63,4,35.5,20088,0,1
2026-09-15T22,63,0,34.25,400,0,1
2026-09-15T22,63,3,35.0,0,11555,1
2026-09-15T22,63,4,35.5,0,79912,1
2026-09-16T04,63,0,34.0,0,1586,1
2026-09-16T04,63,0,34.25,14,0,1
2026-09-16T04,63,3,35.25,0,10000,1
2026-09-16T04,63,4,35.75,0,45160,1
2026-09-16T04,63,4,36.25,0,11690,1
2026-09-16T04,63,4,36.5,0,26564,1
2026-09-16T09,63,0,32.75,0,5,1
2026-09-16T09,63,0,33.0,1531,239,2
2026-09-16T09,63,0,33.25,0,350,1
2026-09-16T09,63,5,35.75,0,1,1
2026-09-16T09,63,5,36.0,0,95000,1
2026-09-16T11,63,0,33.0,5000,0,1
2026-09-16T11,63,3,35.75,0,12841,1
2026-09-16T15,63,0,32.5,532,4791,2
2026-09-16T15,63,0,32.75,140,0,1
2026-09-16T16,63,0,32.75,0,1500,2
2026-09-16T16,63,0,33.0,0,620,1
2026-09-16T16,63,0,33.25,0,3416,1
2026-09-16T16,63,0,33.5,0,800,2
2026-09-16T16,63,1,33.75,0,25,1
2026-09-16T16,63,1,34.0,0,190,1
2026-09-16T16,63,1,34.25,0,2225,1
2026-09-16T16,63,1,34.5,0,2533,1
2026-09-16T16,63,2,35.0,0,29680,2
2026-09-16T16,63,2,35.25,0,20407,2
2026-09-16T16,63,3,35.5,0,23000,1
2026-09-16T16,63,3,35.75,0,60397,2
2026-09-16T17,63,0,33.75,0,1000,1
