ts,kind,price,is_up
2026-09-03T19:04:08Z,15,10.2,0
2026-09-03T19:04:08Z,2,0.368,1
2026-09-03T19:04:08Z,45,16.1,0
2026-09-03T19:04:08Z,30,155.0,1
2026-09-03T19:04:08Z,16,9.0,0
2026-09-03T19:04:08Z,102,2.75,1
2026-09-03T19:04:08Z,44,1.24,0
2026-09-03T19:04:08Z,66,0.28,1
2026-09-03T19:04:08Z,14,10.8,0
2026-09-03T19:04:08Z,106,4.15,0
2026-09-03T19:04:08Z,13,0.365,0
2026-09-03T19:04:08Z,17,14.4,0
2026-09-03T19:04:08Z,26,1220.0,1
2026-09-03T19:04:08Z,21,55.5,0
2026-09-03T19:04:08Z,73,26.5,1
2026-09-03T19:04:08Z,70,805.0,0
2026-09-03T19:04:08Z,108,10.0,1
2026-09-03T19:04:08Z,42,4.95,0
2026-09-03T19:04:08Z,7,39.5,1
2026-09-03T19:04:08Z,120,2.6,1
2026-09-03T19:04:08Z,53,3380.0,1
2026-09-03T19:04:08Z,40,1.4,0
2026-09-03T19:04:08Z,46,27.25,0
2026-09-03T19:04:08Z,125,25.0,0
2026-09-03T19:04:08Z,122,126.0,1
2026-09-03T19:04:08Z,139,10.1,1
2026-09-03T19:04:08Z,104,0.97,0
2026-09-03T19:04:08Z,1,0.261,1
2026-09-03T19:04:08Z,34,92.5,0
2026-09-03T19:04:08Z,22,87.0,0
2026-09-03T19:04:08Z,20,111.0,1
2026-09-03T19:04:08Z,118,0.775,0
2026-09-03T19:04:08Z,9,1.17,0
2026-09-03T19:04:08Z,112,2190.0,0
2026-09-03T19:04:08Z,126,55.0,1
2026-09-03T19:04:08Z,109,109.0,0
2026-09-03T19:04:08Z,135,17.9,0
2026-09-03T19:04:08Z,79,870.0,0
2026-09-03T19:04:08Z,12,41.0,1
2026-09-03T19:04:08Z,69,6475.0,0
2026-09-03T19:04:08Z,116,39.0,0
2026-09-03T19:04:08Z,10,29.25,1
2026-09-03T19:04:08Z,72,1.68,0
2026-09-03T19:04:08Z,111,2600.0,1
2026-09-03T19:04:08Z,101,197.0,1
2026-09-03T19:04:08Z,5,2.95,0
2026-09-03T19:04:08Z,60,5.5,0
2026-09-03T19:04:08Z,3,2.2,0
2026-09-03T19:04:08Z,89,4400.0,1
2026-09-03T19:04:08Z,75,6.2,0
2026-09-03T19:04:08Z,114,650.0,1
2026-09-03T19:04:08Z,115,130.0,1
2026-09-03T19:04:08Z,41,4.55,0
2026-09-03T19:04:08Z,150,390.0,1
2026-09-03T19:04:08Z,43,11.5,1
2026-09-03T19:04:08Z,83,30.0,0
2026-09-03T19:04:08Z,142,780.0,1
2026-09-03T19:04:08Z,33,113.0,1
2026-09-03T19:04:08Z,127,478.0,1
2026-09-03T19:04:08Z,136,1.58,1
2026-09-03T19:04:08Z,25,755.0,0
2026-09-03T19:04:08Z,143,760.0,0
2026-09-03T19:04:08Z,62,22.25,1
2026-09-03T19:04:08Z,64,45.25,1
2026-09-03T19:04:08Z,155,130.0,0
2026-09-03T19:04:08Z,61,18.8,1
2026-09-03T19:04:08Z,140,256.0,0
2026-09-03T19:04:08Z,24,615.0,0
2026-09-03T19:04:08Z,29,99.5,1
2026-09-03T19:04:08Z,151,232.0,0
2026-09-03T19:04:08Z,6,0.71,1
2026-09-03T19:04:08Z,32,212.0,0
2026-09-03T19:04:08Z,103,6.8,0
2026-09-03T19:04:08Z,59,65.0,0
2026-09-03T19:04:08Z,55,2240.0,0
2026-09-03T19:04:08Z,117,7.2,1
2026-09-03T19:04:08Z,74,20.0,0
2026-09-03T19:04:08Z,35,86.5,1
2026-09-03T19:04:08Z,23,129.0,1
2026-09-03T19:04:08Z,19,11.2,1
2026-09-03T19:04:08Z,11,40.75,1
2026-09-03T19:04:08Z,18,20.0,0
2026-09-03T19:04:08Z,105,1.49,1
2026-09-03T19:04:08Z,124,36.25,0
2026-09-03T19:04:08Z,133,18.2,1
2026-09-03T19:04:08Z,85,7425.0,1
2026-09-03T19:04:08Z,4,2.2,0
2026-09-03T19:04:08Z,80,4450.0,1
2026-09-03T19:04:08Z,110,200.0,1
2026-09-03T19:04:08Z,68,32.0,0
2026-09-03T19:04:08Z,107,20.75,1
2026-09-03T19:04:08Z,76,57.5,1
2026-09-03T19:04:08Z,58,126.0,1
2026-09-03T19:04:08Z,8,10.5,0
2026-09-03T19:04:08Z,87,484.0,1
2026-09-03T19:04:08Z,77,2680.0,1
2026-09-03T19:04:08Z,28,960.0,1
2026-09-03T19:04:08Z,146,6.5,0
2026-09-03T19:04:08Z,54,6450.0,1
2026-09-03T19:04:08Z,31,204.0,1
2026-09-03T19:04:08Z,145,135.0,1
2026-09-03T19:04:08Z,50,336.0,0
2026-09-03T19:04:08Z,134,49.5,0
2026-09-03T19:04:08Z,119,31.5,0
2026-09-03T19:04:08Z,147,40.0,1
2026-09-03T19:04:08Z,82,1500.0,1
2026-09-03T19:04:08Z,47,430.0,0
2026-09-03T19:04:08Z,144,17.2,1
2026-09-03T19:04:08Z,81,5175.0,1
2026-09-03T19:04:08Z,57,5575.0,0
2026-09-03T19:04:08Z,84,8950.0,0
2026-09-03T19:04:08Z,51,790.0,1
2026-09-03T19:04:08Z,138,1260.0,0
2026-09-03T19:04:08Z,98,845.0,0
2026-09-03T19:04:08Z,153,79.0,0
2026-09-03T19:04:08Z,137,126.0,1
2026-09-03T19:04:08Z,154,77.0,0
2026-09-03T19:04:08Z,52,610.0,0
2026-09-03T19:04:08Z,113,127.0,0
2026-09-03T19:04:08Z,128,56.5,0
2026-09-03T19:04:08Z,121,149.0,1
2026-09-03T19:04:08Z,65,13.2,1
2026-09-03T19:04:08Z,63,32.5,1
2026-09-03T19:04:08Z,48,222.0,1
2026-09-03T19:04:08Z,123,298.0,0
2026-09-03T19:04:08Z,71,1540.0,1
2026-09-03T19:04:08Z,56,4340.0,0
2026-09-03T19:04:08Z,149,725.0,0
2026-09-03T19:04:08Z,86,10000.0,0
2026-09-03T19:04:08Z,141,37.0,0
2026-09-03T19:04:08Z,132,2210.0,0
2026-09-03T19:04:08Z,129,2180.0,1
2026-09-03T19:04:08Z,148,33.25,0
2026-09-03T19:04:08Z,27,575.0,0
2026-09-03T19:04:08Z,100,111.0,1
2026-09-03T19:04:08Z,152,234.0,1
2026-09-03T19:04:08Z,131,2390.0,0
2026-09-03T19:04:08Z,88,11000.0,1
2026-09-03T19:04:08Z,49,950.0,0
2026-09-03T19:04:08Z,78,1840.0,0
2026-09-03T19:04:08Z,67,11.8,0
2026-09-03T19:04:08Z,130,2060.0,1
2026-09-03T21:52:49Z,10,29.0,0
2026-09-03T21:52:49Z,57,5575.0,0
2026-09-03T21:52:49Z,113,130.0,1
2026-09-03T21:52:49Z,103,6.7,0
2026-09-03T21:52:49Z,145,137.0,1
2026-09-03T21:52:49Z,13,0.365,0
2026-09-03T21:52:49Z,3,2.3,0
2026-09-03T21:52:49Z,51,790.0,1
2026-09-03T21:52:49Z,1,0.258,1
2026-09-03T21:52:49Z,43,11.1,1
2026-09-03T21:52:49Z,100,112.0,0
2026-09-03T21:52:49Z,17,14.6,0
2026-09-03T21:52:49Z,44,1.26,1
2026-09-03T21:52:49Z,73,26.0,0
2026-09-03T21:52:49Z,16,8.7,0
2026-09-03T21:52:49Z,124,36.25,0
2026-09-03T21:52:49Z,12,41.0,0
2026-09-03T21:52:49Z,19,11.0,0
2026-09-03T21:52:49Z,22,89.5,0
2026-09-03T21:52:49Z,75,6.1,0
2026-09-03T21:52:49Z,139,9.9,0
2026-09-03T21:52:49Z,108,10.1,1
2026-09-03T21:52:49Z,111,2600.0,1
2026-09-03T21:52:49Z,2,0.369,0
2026-09-03T21:52:49Z,102,2.65,0
2026-09-03T21:52:49Z,101,199.0,1
2026-09-03T21:52:49Z,53,3390.0,1
2026-09-03T21:52:49Z,133,17.2,0
2026-09-03T21:52:49Z,7,40.0,0
