heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T12,109,0,111.0,640,,1
2026-09-04T13,109,2,112.0,4567,,1
2026-09-04T14,109,1,111.0,2376,,1
2026-09-04T14,109,2,112.0,20733,,2
2026-09-04T15,109,2,112.0,29931,,3
2026-09-04T16,109,2,112.0,7571,,2
2026-09-04T16,109,3,111.0,1056,,1
2026-09-04T17,109,2,110.0,1258,,2
2026-09-04T17,109,3,111.0,5000,,1
2026-09-04T18,109,0,108.0,938,,1
2026-09-04T18,109,1,108.0,1671,,1
2026-09-04T18,109,3,110.0,300,,1
2026-09-04T21,109,0,108.0,672,,1
2026-09-04T21,109,0,109.0,3252,,2
2026-09-04T21,109,0,110.0,4867,,1
2026-09-04T21,109,2,110.0,3031,,1
2026-09-04T21,109,3,110.0,4,,1
2026-09-04T21,109,3,111.0,56072,,2
2026-09-04T23,109,1,110.0,0,1134,1
2026-09-04T23,109,2,110.0,0,4218,1
2026-09-04T23,109,3,111.0,15811,0,3
2026-09-05T00,109,3,111.0,14949,0,3
2026-09-05T01,109,0,108.0,0,3,1
2026-09-05T01,109,0,109.0,0,5417,2
2026-09-05T01,109,0,110.0,512,0,1
2026-09-05T01,109,3,110.0,468,0,1
2026-09-05T02,109,0,110.0,0,1349,2
2026-09-05T02,109,3,110.0,0,100,1
2026-09-05T02,109,3,111.0,4217,0,2
2026-09-05T02,109,4,111.0,602,0,1
2026-09-05T03,109,0,110.0,32,708,2
2026-09-05T03,109,3,111.0,3801,0,1
2026-09-05T03,109,4,111.0,249,936,2
2026-09-05T04,109,0,108.0,185,0,1
2026-09-05T04,109,0,109.0,813,0,1
2026-09-05T04,109,1,109.0,4862,0,2
2026-09-05T04,109,2,110.0,3050,0,1
2026-09-05T05,109,0,108.0,2240,2530,3
2026-09-05T05,109,2,109.0,3738,0,2
2026-09-05T05,109,3,111.0,0,8283,1
2026-09-05T05,109,4,112.0,1500,0,1
2026-09-05T06,109,0,109.0,621,0,1
2026-09-05T06,109,1,108.0,839,5425,2
2026-09-05T06,109,1,109.0,7237,3539,4
2026-09-05T06,109,2,108.0,0,2117,1
2026-09-05T06,109,2,109.0,0,1166,1
2026-09-05T06,109,2,110.0,334,0,1
2026-09-05T07,109,0,109.0,0,8272,2
2026-09-05T07,109,2,110.0,11902,0,3
2026-09-05T08,109,1,109.0,1152,1328,3
2026-09-05T08,109,2,109.0,320,8324,2
2026-09-05T08,109,2,110.0,22383,0,2
2026-09-05T09,109,0,109.0,0,61,1
2026-09-05T09,109,2,110.0,9585,0,3
2026-09-05T09,109,4,112.0,1000,0,1
2026-09-05T10,109,0,108.0,0,6510,2
2026-09-05T10,109,0,109.0,0,2062,2
2026-09-05T10,109,1,108.0,0,227,1
2026-09-05T10,109,2,109.0,464,9952,2
2026-09-05T10,109,2,110.0,32612,0,2
2026-09-05T10,109,3,111.0,0,6337,2
2026-09-05T11,109,0,108.0,0,1234,1
2026-09-05T11,109,0,109.0,3064,5101,4
2026-09-05T11,109,1,110.0,3183,0,1
2026-09-05T11,109,2,110.0,0,8945,1
