heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T12,120,0,2.85,26,,1
2026-09-04T12,120,0,3.15,13082,,1
2026-09-04T12,120,0,3.35,10000,,1
2026-09-04T12,120,0,3.6,47946,,1
2026-09-04T13,120,0,2.85,1500,,1
2026-09-04T13,120,1,3.15,3500,,1
2026-09-04T14,120,0,2.55,200,,1
2026-09-04T14,120,0,2.6,202,,2
2026-09-04T14,120,2,3.3,300,,1
2026-09-04T14,120,3,3.35,13699,,2
2026-09-04T15,120,0,2.7,1332,,1
2026-09-04T15,120,0,2.75,3363,,1
2026-09-04T15,120,2,3.4,47772,,1
2026-09-04T15,120,3,3.35,1150,,1
2026-09-04T15,120,5,3.5,72096,,1
2026-09-04T16,120,0,2.5,3789,,2
2026-09-04T16,120,0,2.65,3395,,1
2026-09-04T16,120,3,3.45,152468,,1
2026-09-04T16,120,5,3.5,120678,,2
2026-09-04T17,120,0,2.5,8604,,3
2026-09-04T17,120,0,2.65,516,,1
2026-09-04T17,120,3,3.45,2662,,1
2026-09-04T17,120,5,3.5,210820,,1
2026-09-04T17,120,11,5.5,2600,,1
2026-09-04T18,120,0,2.6,8544,,2
2026-09-04T18,120,0,2.65,2000,,1
2026-09-04T18,120,0,2.7,1228,,1
2026-09-04T18,120,3,3.3,75278,,2
2026-09-04T18,120,4,3.35,9390,,1
2026-09-04T18,120,5,3.5,360,,1
2026-09-04T18,120,6,3.6,3856,,1
2026-09-04T21,120,0,2.75,3848,,4
2026-09-04T21,120,0,2.8,5885,,2
2026-09-04T21,120,0,2.85,1976,,1
2026-09-04T21,120,2,3.45,1194,,1
2026-09-04T21,120,6,3.6,19236,,1
2026-09-04T23,120,0,2.5,8516,5484,2
2026-09-04T23,120,1,2.65,0,4251,1
2026-09-04T23,120,1,3.0,0,20955,1
2026-09-04T23,120,1,3.15,0,10000,1
2026-09-04T23,120,1,3.2,0,7598,1
2026-09-04T23,120,1,3.25,0,2000,1
2026-09-04T23,120,1,3.3,0,7284,1
2026-09-04T23,120,2,3.45,0,4235,1
2026-09-04T23,120,3,3.45,0,7629,1
2026-09-04T23,120,5,3.5,4899,0,2
2026-09-05T00,120,0,2.45,0,700,1
2026-09-05T00,120,0,2.5,200,0,1
2026-09-05T00,120,4,3.45,21295,0,1
2026-09-05T00,120,7,3.75,9780,0,1
2026-09-05T01,120,0,2.3,0,4558,1
2026-09-05T01,120,0,2.35,0,3797,1
2026-09-05T01,120,0,2.4,0,1000,1
2026-09-05T01,120,0,2.45,0,10,1
2026-09-05T01,120,0,2.5,0,10269,2
2026-09-05T01,120,0,2.55,3595,0,1
2026-09-05T01,120,1,3.35,0,16162,1
2026-09-05T01,120,4,3.4,938,133532,2
2026-09-05T01,120,4,3.45,89,0,1
2026-09-05T01,120,11,5.5,0,997400,1
2026-09-05T02,120,0,2.45,4149,0,2
2026-09-05T02,120,1,3.25,0,1824,1
2026-09-05T02,120,1,3.3,176,0,1
2026-09-05T02,120,4,3.3,25259,0,2
2026-09-05T02,120,10,5.9,6720,0,1
2026-09-05T03,120,0,2.45,0,1640,1
2026-09-05T03,120,0,2.5,7527,0,3
