heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T12,79,0,885.0,499,,1
2026-09-04T12,79,0,910.0,1632,,1
2026-09-04T14,79,1,890.0,880,,2
2026-09-04T14,79,3,895.0,2464,,2
2026-09-04T14,79,3,900.0,116,,1
2026-09-04T14,79,5,910.0,7877,,3
2026-09-04T14,79,6,930.0,601,,1
2026-09-04T15,79,1,885.0,18,,1
2026-09-04T15,79,2,890.0,850,,2
2026-09-04T15,79,2,895.0,108,,1
2026-09-04T15,79,3,900.0,1453,,3
2026-09-04T15,79,5,910.0,350,,1
2026-09-04T15,79,5,920.0,1759,,1
2026-09-04T15,79,6,930.0,2240,,1
2026-09-04T16,79,0,890.0,74,,1
2026-09-04T16,79,1,890.0,278,,2
2026-09-04T16,79,2,895.0,1656,,2
2026-09-04T16,79,4,905.0,160,,1
2026-09-04T17,79,0,875.0,4,,1
2026-09-04T17,79,0,890.0,1,,1
2026-09-04T17,79,1,895.0,1077,,1
2026-09-04T17,79,2,895.0,24,,1
2026-09-04T17,79,3,895.0,176,,1
2026-09-04T17,79,3,900.0,2752,,2
2026-09-04T17,79,4,905.0,466,,2
2026-09-04T17,79,6,925.0,66,,1
2026-09-04T18,79,1,880.0,60,,1
2026-09-04T18,79,2,890.0,323,,1
2026-09-04T18,79,3,890.0,4561,,2
2026-09-04T18,79,3,895.0,140,,1
2026-09-04T18,79,5,910.0,405,,1
2026-09-04T21,79,0,870.0,209,,3
2026-09-04T21,79,0,875.0,119,,1
2026-09-04T21,79,0,880.0,22,,1
2026-09-04T21,79,1,875.0,500,,2
2026-09-04T21,79,1,880.0,159,,1
2026-09-04T21,79,2,875.0,10,,1
2026-09-04T21,79,2,880.0,544,,1
2026-09-04T21,79,2,885.0,1090,,2
2026-09-04T21,79,2,890.0,14,,1
2026-09-04T21,79,3,880.0,3765,,3
2026-09-04T21,79,3,885.0,226,,1
2026-09-04T21,79,3,890.0,6627,,4
2026-09-04T21,79,3,895.0,1418,,1
2026-09-04T21,79,3,900.0,759,,1
2026-09-04T21,79,4,905.0,6,,1
2026-09-04T21,79,4,910.0,290,,1
2026-09-04T21,79,5,920.0,30,,1
2026-09-04T21,79,6,925.0,526,,1
2026-09-04T21,79,8,955.0,5000,,1
2026-09-04T23,79,1,890.0,0,768,2
2026-09-04T23,79,1,895.0,1124,0,2
2026-09-04T23,79,3,900.0,0,254,2
2026-09-04T23,79,4,900.0,0,768,1
2026-09-04T23,79,4,905.0,0,2752,1
2026-09-04T23,79,4,910.0,0,4225,2
2026-09-04T23,79,4,915.0,0,1000,1
2026-09-05T00,79,0,890.0,31,0,2
2026-09-05T00,79,1,895.0,28,147,2
2026-09-05T00,79,1,900.0,0,228,1
2026-09-05T00,79,2,905.0,0,1000,1
2026-09-05T00,79,3,905.0,0,400,1
2026-09-05T00,79,3,910.0,158,0,2
2026-09-05T01,79,0,890.0,0,18,1
2026-09-05T01,79,0,895.0,0,24,1
2026-09-05T01,79,1,900.0,12,0,1
2026-09-05T01,79,2,900.0,0,500,1
2026-09-05T01,79,2,905.0,0,100,1
2026-09-05T01,79,3,910.0,1357,0,1
2026-09-05T01,79,4,915.0,0,80,1
2026-09-05T01,79,5,920.0,2659,0,2
2026-09-05T02,79,0,900.0,0,5,1
2026-09-05T02,79,0,905.0,16,0,1
2026-09-05T02,79,1,900.0,0,37,1
2026-09-05T02,79,1,905.0,0,162,1
2026-09-05T02,79,2,905.0,363,85,2
2026-09-05T02,79,3,910.0,1683,530,5
2026-09-05T02,79,5,920.0,224,0,1
2026-09-05T03,79,1,885.0,67,0,2
2026-09-05T03,79,2,890.0,186,0,3
2026-09-05T03,79,5,910.0,624,0,1
2026-09-05T03,79,5,920.0,4,0,1
2026-09-05T03,79,6,910.0,0,1100,1
2026-09-05T04,79,1,885.0,0,182,1
2026-09-05T04,79,1,900.0,0,122,1
2026-09-05T04,79,2,890.0,0,445,1
2026-09-05T04,79,2,905.0,0,492,1
2026-09-05T04,79,3,885.0,143,0,1
2026-09-05T04,79,3,905.0,0,464,1
2026-09-05T04,79,3,910.0,544,0,1
2026-09-05T04,79,4,905.0,0,244,1
2026-09-05T04,79,5,910.0,0,884,1
2026-09-05T04,79,6,915.0,804,0,1
2026-09-05T05,79,0,860.0,144,0,1
2026-09-05T05,79,1,875.0,0,39,1
2026-09-05T05,79,1,895.0,0,67,1
2026-09-05T05,79,3,885.0,0,357,1
2026-09-05T05,79,3,890.0,0,83,1
2026-09-05T05,79,3,900.0,3968,0,2
2026-09-05T05,79,4,895.0,383,1247,3
2026-09-05T05,79,4,900.0,0,650,1
2026-09-05T05,79,4,905.0,5851,485,2
2026-09-05T05,79,5,910.0,2715,0,1
2026-09-05T06,79,0,860.0,40,0,2
2026-09-05T06,79,2,905.0,0,268,1
2026-09-05T06,79,3,900.0,0,1648,1
2026-09-05T06,79,3,905.0,0,793,1
2026-09-05T06,79,5,905.0,0,42,1
2026-09-05T06,79,5,910.0,1143,0,4
2026-09-05T06,79,7,955.0,0,1888,1
2026-09-05T06,79,10,1030.0,0,1000,1
2026-09-05T07,79,0,855.0,34,94,3
2026-09-05T07,79,0,860.0,0,121,2
2026-09-05T07,79,0,865.0,0,80,1
2026-09-05T07,79,0,870.0,0,48,1
2026-09-05T07,79,0,875.0,0,1,1
2026-09-05T07,79,0,880.0,0,3,1
2026-09-05T07,79,0,895.0,0,176,1
2026-09-05T07,79,1,900.0,0,232,2
2026-09-05T07,79,2,900.0,0,72,1
2026-09-05T07,79,4,905.0,7230,0,3
2026-09-05T07,79,5,910.0,104,0,1
2026-09-05T08,79,1,885.0,0,21,1
2026-09-05T08,79,2,890.0,0,368,1
2026-09-05T08,79,4,895.0,86,395,4
2026-09-05T08,79,4,900.0,196,0,1
2026-09-05T08,79,5,910.0,480,0,1
2026-09-05T08,79,10,1030.0,884,0,1
2026-09-05T09,79,4,890.0,982,0,4
