heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T12,83,0,31.75,2500,,1
2026-09-04T13,83,1,32.0,21500,,1
2026-09-04T13,83,2,33.75,80,,1
2026-09-04T14,83,0,30.5,325,,1
2026-09-04T14,83,3,33.75,753,,1
2026-09-04T15,83,0,30.25,1730,,3
2026-09-04T15,83,1,32.0,4000,,1
2026-09-04T15,83,1,32.5,5145,,1
2026-09-04T15,83,3,34.25,45,,1
2026-09-04T15,83,3,34.5,4276,,1
2026-09-04T16,83,1,32.25,500,,1
2026-09-04T16,83,2,33.25,1051,,1
2026-09-04T16,83,3,34.0,3490,,1
2026-09-04T16,83,4,36.0,3490,,1
2026-09-04T17,83,0,30.25,455,,1
2026-09-04T17,83,0,31.0,1681,,1
2026-09-04T17,83,3,34.0,2704,,1
2026-09-04T17,83,4,35.75,250,,1
2026-09-04T18,83,0,31.25,7015,,1
2026-09-04T18,83,3,34.25,1377,,1
2026-09-04T21,83,0,30.5,1023,,1
2026-09-04T21,83,0,30.75,4384,,4
2026-09-04T21,83,0,31.0,404,,2
2026-09-04T21,83,0,31.25,9439,,1
2026-09-04T21,83,1,34.25,1850,,1
2026-09-04T21,83,2,33.75,1000,,1
2026-09-04T21,83,2,34.0,1831,,1
2026-09-04T21,83,2,34.25,10142,,2
2026-09-04T21,83,2,34.5,3543,,2
2026-09-04T21,83,3,34.5,560,,1
2026-09-04T21,83,3,34.75,17324,,1
2026-09-04T23,83,0,30.75,0,270,1
2026-09-04T23,83,0,31.0,4730,0,1
2026-09-04T23,83,2,34.0,0,997,1
2026-09-04T23,83,2,34.25,3,0,1
2026-09-04T23,83,4,35.0,0,3015,1
2026-09-04T23,83,4,35.25,6985,0,1
