heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T12,107,0,20.75,430,,1
2026-09-04T13,107,6,21.0,3112,,1
2026-09-04T14,107,0,20.75,621,,1
2026-09-04T14,107,1,20.5,2624,,1
2026-09-04T14,107,6,21.0,1713,,1
2026-09-04T15,107,2,20.5,22192,,3
2026-09-04T16,107,2,20.5,41129,,3
2026-09-04T17,107,0,19.8,2704,,1
2026-09-04T17,107,2,20.5,2546,,1
2026-09-04T17,107,3,20.25,1167,,1
2026-09-04T18,107,0,19.8,12091,,3
2026-09-04T18,107,2,19.9,8827,,1
2026-09-04T21,107,0,19.8,1079,,1
2026-09-04T21,107,0,19.9,17452,,4
2026-09-04T21,107,1,19.8,664,,1
2026-09-04T21,107,1,19.9,8,,1
2026-09-04T21,107,3,19.9,5915,,1
2026-09-04T21,107,3,20.0,5898,,1
2026-09-04T23,107,0,20.25,0,2671,1
2026-09-04T23,107,0,20.75,2925,0,1
2026-09-04T23,107,1,20.25,0,52,1
2026-09-04T23,107,1,20.5,4114,762,3
2026-09-04T23,107,1,20.75,0,1251,1
2026-09-04T23,107,3,20.25,0,5280,1
2026-09-04T23,107,4,20.75,0,13000,1
2026-09-05T00,107,0,20.75,0,5567,1
2026-09-05T00,107,6,21.0,14517,0,2
2026-09-05T01,107,0,20.5,0,43540,1
2026-09-05T01,107,2,20.75,0,4946,1
2026-09-05T02,107,0,20.5,0,1514,1
2026-09-05T02,107,0,20.75,2496,4441,4
2026-09-05T03,107,0,20.5,1225,644,3
2026-09-05T03,107,0,20.75,0,2227,1
2026-09-05T03,107,2,20.75,0,10000,1
2026-09-05T03,107,3,20.75,6761,0,2
2026-09-05T03,107,6,21.0,3365,0,1
2026-09-05T04,107,0,20.75,0,1375,1
2026-09-05T04,107,3,20.75,1856,239,2
2026-09-05T04,107,6,21.0,7963,0,3
