heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-04T12,107,0,20.75,430,,1
2026-09-04T13,107,6,21.0,3112,,1
2026-09-04T14,107,0,20.75,621,,1
2026-09-04T14,107,1,20.5,2624,,1
2026-09-04T14,107,6,21.0,1713,,1
2026-09-04T15,107,2,20.5,22192,,3
2026-09-04T16,107,2,20.5,41129,,3
2026-09-04T17,107,0,19.8,2704,,1
2026-09-04T17,107,2,20.5,2546,,1
2026-09-04T17,107,3,20.25,1167,,1
2026-09-04T18,107,0,19.8,12091,,3
2026-09-04T18,107,2,19.9,8827,,1
2026-09-04T21,107,0,19.8,1079,,1
2026-09-04T21,107,0,19.9,17452,,4
2026-09-04T21,107,1,19.8,664,,1
2026-09-04T21,107,1,19.9,8,,1
2026-09-04T21,107,3,19.9,5915,,1
2026-09-04T21,107,3,20.0,5898,,1
2026-09-04T23,107,0,20.25,0,2671,1
2026-09-04T23,107,0,20.75,2925,0,1
2026-09-04T23,107,1,20.25,0,52,1
2026-09-04T23,107,1,20.5,4114,762,3
2026-09-04T23,107,1,20.75,0,1251,1
2026-09-04T23,107,3,20.25,0,5280,1
2026-09-04T23,107,4,20.75,0,13000,1
2026-09-05T00,107,0,20.75,0,5567,1
2026-09-05T00,107,6,21.0,14517,0,2
2026-09-05T01,107,0,20.5,0,43540,1
2026-09-05T01,107,2,20.75,0,4946,1
2026-09-05T02,107,0,20.5,0,1514,1
2026-09-05T02,107,0,20.75,2496,4441,4
2026-09-05T03,107,0,20.5,1225,644,3
2026-09-05T03,107,0,20.75,0,2227,1
2026-09-05T03,107,2,20.75,0,10000,1
2026-09-05T03,107,3,20.75,6761,0,2
2026-09-05T03,107,6,21.0,3365,0,1
2026-09-05T04,107,0,20.75,0,1375,1
2026-09-05T04,107,3,20.75,1856,239,2
2026-09-05T04,107,6,21.0,7963,0,3
2026-09-05T05,107,0,20.75,2688,63800,2
2026-09-05T05,107,1,20.75,5184,0,1
2026-09-05T05,107,3,20.75,0,3354,1
2026-09-05T05,107,6,21.0,3752,0,1
2026-09-05T06,107,0,20.5,640,3007,2
2026-09-05T06,107,1,20.75,2449,0,1
2026-09-05T07,107,0,19.8,0,6013,1
2026-09-05T07,107,0,19.9,0,4127,2
2026-09-05T07,107,0,20.0,64,6095,3
2026-09-05T07,107,1,20.0,0,5085,1
2026-09-05T07,107,2,20.0,8280,3116,2
2026-09-05T07,107,4,20.25,3038,0,2
2026-09-05T08,107,0,20.5,0,25628,2
2026-09-05T08,107,3,20.75,17866,0,2
2026-09-05T08,107,4,20.25,451,9753,3
2026-09-05T09,107,1,20.25,11358,0,1
2026-09-05T09,107,1,20.75,7871,0,1
2026-09-05T09,107,3,20.0,0,5547,1
2026-09-05T09,107,3,20.75,0,2077,1
2026-09-05T09,107,4,20.25,0,1077,1
2026-09-05T10,107,0,20.75,40573,10876,7
2026-09-05T10,107,1,20.25,0,9276,1
2026-09-05T10,107,1,20.75,0,2530,1
2026-09-05T10,107,2,20.5,5248,4624,2
2026-09-05T11,107,0,20.75,0,9380,1
2026-09-05T11,107,6,21.0,76431,0,4
2026-09-05T12,107,0,20.25,0,1632,1
2026-09-05T12,107,0,20.5,466,1134,2
2026-09-05T12,107,3,20.75,466,0,1
2026-09-05T13,107,0,20.5,0,2000,1
2026-09-05T13,107,2,20.5,0,1849,1
2026-09-05T13,107,2,20.75,14010,0,2
2026-09-05T13,107,3,20.75,2168,70,3
2026-09-05T13,107,6,21.0,196,0,1
2026-09-05T14,107,0,19.7,0,700,1
2026-09-05T14,107,0,19.8,5388,0,1
2026-09-05T14,107,3,19.7,8021,0,1
2026-09-05T15,107,0,19.8,0,872,1
2026-09-05T15,107,0,19.9,0,5046,1
2026-09-05T15,107,0,20.0,0,644,1
2026-09-05T15,107,1,20.25,4960,0,1
2026-09-05T15,107,3,19.7,11397,311,4
2026-09-05T15,107,3,19.9,0,1207,1
2026-09-05T15,107,4,20.0,0,22784,2
2026-09-05T16,107,0,20.0,0,6134,1
2026-09-05T16,107,0,20.25,46,6821,3
2026-09-05T16,107,1,20.25,14256,6224,3
2026-09-05T16,107,2,20.5,0,2036,1
2026-09-05T17,107,2,20.5,5129,0,1
2026-09-05T18,107,2,20.25,3564,14978,3
2026-09-05T18,107,2,20.5,1795,0,1
2026-09-05T18,107,3,20.5,0,6917,1
2026-09-05T19,107,0,20.5,0,5491,2
2026-09-05T19,107,1,20.0,632,0,1
2026-09-05T19,107,1,20.5,0,8517,1
2026-09-05T19,107,2,20.25,0,1666,1
2026-09-05T19,107,2,20.5,9747,7458,3
2026-09-05T19,107,2,20.75,0,73068,1
2026-09-05T20,107,0,20.5,0,13579,2
2026-09-05T20,107,1,19.9,0,1848,1
2026-09-05T20,107,1,20.0,0,8795,1
2026-09-05T20,107,2,20.25,0,7091,1
2026-09-05T20,107,2,20.5,8622,79363,2
2026-09-05T20,107,3,20.75,2821,0,2
2026-09-05T20,107,4,20.75,995,2435,2
